accuracy,precision,recall,f1_score
0.9814910292625427,0.9825021872265967,0.9859525899912204,0.9842243645924627
0.9804627299308777,0.9841688654353562,0.9824407374890255,0.9833040421792619
0.965038537979126,0.9953746530989824,0.9446883230904302,0.9693693693693693
0.9763495922088623,0.976460331299041,0.9833187006145742,0.9798775153105862
0.9840617179870605,0.9809027777777778,0.9920983318700615,0.9864687909209953
0.9804627299308777,0.9774501300954033,0.9894644424934153,0.9834205933682373
0.9794344305992126,0.9910634495084897,0.9736611062335382,0.9822852081488042
0.9850823283195496,0.9842931937172775,0.990342405618964,0.987308533916849
0.9562757015228271,0.9852670349907919,0.9394205443371378,0.9617977528089889
0.9768518805503845,0.9707401032702238,0.990342405618964,0.9804432855280313
