accuracy,precision,recall,f1_score
0.9639448523521423,0.956140350877193,0.983754512635379,0.9697508896797153
0.9830148816108704,0.9838129496402878,0.9873646209386282,0.9855855855855856
0.956475555896759,0.9325463743676222,0.9981949458483754,0.9642545771578029
0.977707028388977,0.9819168173598554,0.98014440433213,0.9810298102981029
0.9363057613372803,0.9920318725099602,0.8989169675090253,0.9431818181818182
0.9840764403343201,0.9821109123434705,0.9909747292418772,0.9865229110512129
0.9766454100608826,0.9683098591549296,0.9927797833935018,0.9803921568627452
0.9745222926139832,0.9835466179159049,0.972875226039783,0.9781818181818182
0.9681528806686401,0.9851576994434137,0.9602169981916817,0.9725274725274725
0.9798301458358765,0.9750889679715302,0.9909584086799277,0.9829596412556053
