accuracy,precision,recall,f1_score
0.9978540539741516,0.9963898916967509,1.0,0.9981916817359855
0.9935622215270996,1.0,0.9891304347826086,0.994535519125683
0.991416335105896,0.9857142857142858,1.0,0.9928057553956835
1.0,1.0,1.0,1.0
0.9871244430541992,1.0,0.9782608695652174,0.989010989010989
0.9892703890800476,0.9891696750902527,0.9927536231884058,0.9909584086799277
0.9935622215270996,0.9892086330935251,1.0,0.9945750452079565
0.9892703890800476,0.9891304347826086,0.9927272727272727,0.9909255898366606
0.995708167552948,0.9963636363636363,0.9963636363636363,0.9963636363636363
0.9892473220825195,0.9963235294117647,0.9854545454545455,0.9908592321755026
