accuracy,precision,recall,f1_score
0.9753336310386658,0.924901185770751,0.8478260869565217,0.88468809073724
0.9826121926307678,0.9003436426116839,0.9492753623188406,0.9241622574955908
0.9826121926307678,0.9363295880149812,0.9057971014492754,0.9208103130755064
0.9781641960144043,0.9586776859504132,0.8405797101449275,0.8957528957528957
0.9676506519317627,0.8288590604026845,0.894927536231884,0.8606271777003485
0.9765467047691345,0.8838028169014085,0.9094202898550725,0.8964285714285715
0.9822078347206116,0.8915254237288136,0.9563636363636364,0.9228070175438597
0.973716139793396,0.8723404255319149,0.8945454545454545,0.8833034111310593
0.9789643883705139,0.8912280701754386,0.9236363636363636,0.9071428571428573
0.9676375389099121,0.975609756097561,0.7272727272727273,0.8333333333333334
