accuracy,precision,recall,f1_score
0.9883350729942322,0.994535519125683,0.9855595667870036,0.9900271985494107
0.9925690293312073,0.9892665474060823,0.9981949458483754,0.9937106918238994
0.9893842935562134,0.9874551971326165,0.9945848375451264,0.9910071942446044
0.9819532632827759,0.9718804920913884,0.9981949458483754,0.9848619768477292
0.9861995577812195,0.982174688057041,0.9945848375451264,0.9883408071748879
0.9925690293312073,1.0,0.9873646209386282,0.9936421435059037
0.9946921467781067,0.9945945945945946,0.9963898916967509,0.9954914337240758
0.9915074110031128,0.9981718464351006,0.9873417721518988,0.9927272727272728
0.9681528806686401,0.992467043314501,0.9529837251356239,0.9723247232472324
0.987261176109314,0.9787610619469026,1.0,0.9892665474060822
