accuracy,precision,recall,f1_score
0.9724284410476685,0.9852941176470589,0.9675090252707581,0.97632058287796
0.9904458522796631,0.9945553539019963,0.9891696750902527,0.9918552036199095
0.9915074110031128,0.9857651245551602,1.0,0.992831541218638
0.9670913219451904,0.9906191369606003,0.9530685920577617,0.9714811407543698
0.9819532632827759,0.9908592321755028,0.9783393501805054,0.9845594913714805
0.9893842935562134,0.9963503649635036,0.9855595667870036,0.9909255898366605
0.987261176109314,0.9909420289855072,0.9873646209386282,0.9891500904159132
0.987261176109314,0.9856373429084381,0.9927667269439421,0.9891891891891892
0.977707028388977,0.98014440433213,0.9819168173598554,0.9810298102981029
0.9861995577812195,0.9856115107913669,0.9909584086799277,0.9882777276825969
