accuracy,precision,recall,f1_score
0.9935622215270996,0.9927797833935018,0.9963768115942029,0.9945750452079566
0.9892703890800476,1.0,0.9818840579710145,0.9908592321755028
0.991416335105896,0.9857142857142858,1.0,0.9928057553956835
0.995708167552948,0.9963768115942029,0.9963768115942029,0.9963768115942029
0.9871244430541992,0.9927007299270073,0.9855072463768116,0.9890909090909091
0.9871244430541992,0.9856115107913669,0.9927536231884058,0.9891696750902527
0.995708167552948,0.9927797833935018,1.0,0.996376811594203
0.991416335105896,0.9963369963369964,0.9890909090909091,0.9927007299270072
0.9978540539741516,0.9963768115942029,1.0,0.9981851179673321
0.9849462509155273,0.975177304964539,1.0,0.9874326750448834
